feature,source_repo,wealthfolio_behavior,edge_cases,test_scenarios,status
"AI stock agents","botstreet; AI-Trader","Create local agents with provider id, model id, persona, enabled flag, and schedule flag.","Provider disabled; missing API key; model removed from catalog; duplicate names; disabled agent selected.","Create agent with enabled provider; reject blank name/provider/model; update persona; delete unused agent; run agent with missing API key returns failed run.","implemented"
"Stock challenges","AI-Trader","Create active paper-trading challenges with market, universe, cash, max position %, max drawdown %, cadence, and local scheduled time.","Empty universe means open stock/ETF universe; invalid cash; max position over 100%; ended/settled challenge; duplicate challenge names.","Create default US-stock challenge; create open-universe challenge; settle challenge; verify challenge appears in route and API.","implemented"
"Agent participation","botstreet; AI-Trader","Join agents to challenges idempotently; each participant gets starting cash equal to challenge initial cash.","Agent already joined; deleted agent; disabled agent; missing challenge; settled challenge.","Join same agent twice and verify one participant; join multiple providers; list participants after reload.","implemented"
"LLM decision runs","botstreet","Run one agent manually or scheduled using configured Wealthfolio AI providers and strict JSON output.","Provider timeout; malformed JSON; fenced markdown JSON; no orders; no runner configured; disabled agent.","Run OpenAI/Gemini/Claude-compatible providers; parse fenced JSON; failed run stores error; successful run stores raw and parsed JSON.","implemented"
"Paper order validation","botstreet","Validate long-only buy/sell decisions before execution; store rejected orders with reasons.","Unsupported side; negative notional; buy over cash; sell over holdings; max position breach; unsupported asset type; metal/bond-like asset.","Reject short sale; reject overspend; reject over max position; execute valid buy; execute valid partial/full sell.","implemented"
"Security universe and asset type guard","AI-Trader","Restrict challenge decisions to stocks/ETFs through local assets or quote provider resolution.","Unknown symbol; provider quote unavailable; crypto/metal/bond/fund-like names; non-USD quote currency; stale local price.","Resolve AAPL/SPY; reject BTC/gold/bond symbols; fallback to last arena trade price when quote missing.","implemented"
"Portfolio replay","botstreet","Rebuild each participant portfolio from executed trades plus current quotes; compute cash, positions, return %, drawdown, equity curve.","Partial sells; repeated buys average price; rejected trades ignored; zero positions; missing latest quotes.","Buy twice then sell once; verify average cost; rejected orders not in holdings; cash equals initial minus executed buys plus sells.","implemented"
"Snapshots","AI-Trader","Upsert participant snapshots after runs and leaderboard calculations for replayable historical values.","Same-day rerun; missing snapshot date; empty portfolio; current quote changes after snapshot.","Run agent twice same day; verify snapshot replaced not duplicated; leaderboard reads latest portfolio state.","implemented"
"Leaderboard","botstreet; AI-Trader","Rank agents by return or risk-adjusted score with drawdown disqualification support.","No participants; equal scores; drawdown above limit; settled challenge; no trades.","Build leaderboard for zero-trade participants; disqualify max drawdown breach; settle stores final ranked results.","implemented"
"Company theses","AI-Trader","Store manual or model-produced thesis records with symbol, rating, confidence, horizon, risks, and catalysts.","Blank thesis; symbol casing; confidence outside 0-1; missing challenge; deleted agent/run.","Create manual thesis; model run stores thesis decisions; filter theses by symbol and challenge.","implemented"
"Scheduled runs","botstreet","Run enabled schedule agents for active challenges; idempotency key prevents duplicate cadence execution.","Disabled schedule; disabled agent; settled challenge; no participants; repeated same cadence window.","Run due endpoint twice; verify second call reuses/skips duplicate key; scheduled agents only.","implemented"
"Provider failure handling","botstreet","Keep failed run record with prompt and error; avoid executing trades when model call fails.","Missing API key; network failure; provider returns non-JSON; provider returns partial JSON.","Force missing key; verify failed status and no trade rows; force malformed JSON; verify parsed error.","implemented"
"Web and desktop API parity","Wealthfolio","Expose same commands through Axum REST in web mode and Tauri IPC in desktop mode.","REST path param mismatch; camelCase query mismatch; command payload mismatch; auth-protected server route.","Call create/list/run/leaderboard/theses from desktop and web adapters; type-check shared frontend adapter.","implemented"
"AI Arena UI","Wealthfolio","Add top-level AI Arena workbench to create agents/challenges, join agents, run matches, view leaderboard/trades/runs/portfolio, and write theses.","No providers enabled; no challenge selected; no participants; long names; mobile widths; pending mutation states.","Render empty state; create objects; select challenge/participant; run agent; inspect rejected trade; write thesis.","implemented"
"Local-first persistence","Wealthfolio","Store all arena data in local SQLite migrations with Diesel schema and repositories.","Migration rollback; foreign-key deletion; JSON serialization; decimal precision in text columns.","Run migrations; rollback migration; create rows through repository; reload after app restart.","implemented"
