area,feature,implementation_phase,scope,expected_behavior,authoritative_check,status
AI market data,search_market_symbols,phase_1,assistant_and_mcp,"Assistant can search Wealthfolio market-data symbols and prefer existing local assets for scenario candidates.","Tool schema exists; default chat allowlist includes search_market_symbols; MCP catalog lists tool when performance:read is granted.",implemented
AI market data,get_symbol_performance,phase_1,assistant_and_mcp,"Assistant can compute ticker or asset return metrics for a date range from local or provider-fetched quote history, including untracked symbols and historical ranges.","Tool computes total return, annualized return, max drawdown, volatility, quote coverage, and warnings from QuoteServiceTrait; symbol history is local-first with provider backfill via load_benchmark_quotes.",implemented
AI scenarios,compare_portfolio_to_symbols,phase_1,assistant_and_mcp,"Assistant can compare account/all-account performance against one or more benchmark symbols over the same period, including untracked benchmarks and historical periods.","Tool combines PerformanceServiceTrait portfolio metrics with get_symbol_performance-style benchmark metrics; benchmark history is local-first with provider backfill via load_benchmark_quotes.",implemented
AI scenarios,scenario_candidate_selection,phase_1,prompted_workflow,"Assistant can suggest ETFs/index proxies such as SPY, VOO, QQQ, VT, or user-searched symbols, then validate through search_market_symbols.","Prompt behavior relies on market search plus explicit tool output instead of model-only ticker guesses.",implemented
AI scenarios,create_portfolio_scenario,phase_2,assistant_and_mcp,"Assistant and scoped MCP clients can create a named scenario from chat with all/account/portfolio/account-list scope, optional as-of date, up to 5 benchmarks, an optional weighted basket (up to 10 legs), and structured assumptions.","Scenario tool schema exists (benchmarkSymbols maxItems=5, basket maxItems=10); providing basket sets kind=basket; AgentEnvironment exposes PortfolioScenarioServiceTrait; scenario write scope is enforced for MCP.",implemented
AI scenarios,list_get_delete_scenarios,phase_2,assistant_and_mcp,"Assistant and scoped MCP clients can list, retrieve, and delete saved scenario definitions.","Scenario read/write tools are registered in the shared catalog and included in allowlist/scope tests.",implemented
AI scenarios,compare_saved_scenario,phase_2,assistant_and_mcp,"Assistant can compare a saved scenario's resolved account scope against its saved benchmark symbols, including untracked benchmarks and historical asOfDate ranges.","Tool uses saved resolved_account_ids for all, portfolio, account, and ad-hoc account scopes; single-account label is preserved for UI context; benchmark history is local-first with provider backfill via load_benchmark_quotes; when the scenario defines a basket, a synthetic basket line is computed alongside the portfolio and benchmarks.",implemented
Storage,persisted_scenarios_core,phase_2,core_db,"Named scenarios are stored in Wealthfolio core storage so chat, web, desktop, and future add-ons share the same data.","SQLite migration, schema, repository, core service, server wiring, and Tauri wiring compile and expose PortfolioScenarioServiceTrait.",implemented
Storage,scenario_scope_metadata,phase_2,core_db,"A scenario stores the selected portfolio/account scope, resolved account IDs, optional historical as-of date, benchmark symbols, and assumptions.","Service validates the account scope for performance, normalizes symbols, stores JSON metadata, and compare_saved_scenario reuses that stored scope.",implemented
Storage,scenario_position_snapshot,phase_2,core_db,"A scenario can optionally freeze exact holdings/weights from a historical date for later replay independent of account membership changes.","Dedicated snapshot rows and replay service exist; tests prove later account changes do not alter a frozen scenario.",deferred
API,scenario_crud_surface,phase_2,server_tauri_frontend,"Saved scenarios can be listed, retrieved, created, updated, and deleted outside chat in both web and desktop runtimes.","Axum /scenarios routes, Tauri commands, shared frontend adapters, and React Query hooks exist and type-check.",implemented
UI,scenario_management,phase_2,frontend,"Users can create, edit, delete, and launch saved-scenario comparisons from settings.","Route/page exists at /settings/scenarios; adapters compile for web and desktop; manual UI smoke remains before release.",implemented_pending_ui_smoke
Addon,scenario_addon_bridge,phase_2,addon_runtime,"Existing scenario add-on can consume host scenario APIs instead of private add-on secret storage.","SDK HostAPI exposes scenarios; frontend runtime bridge maps ctx.api.scenarios to host adapters; scenario add-on manifest requests scenarios permission and type-checks against the local SDK.",verified
Security,tool_scopes,phase_1,assistant_and_mcp,"Market/scenario read tools do not mutate data and require an existing read scope.","AgentTool required_scopes use performance:read; MCP scope filtering and audit apply automatically.",verified
Security,scenario_tool_scopes,phase_2,assistant_and_mcp,"Saved scenario tools use dedicated read/write scopes so MCP tokens can grant scenario access independently from activity writes.","scenarios:read and scenarios:write exist in Rust and frontend scope catalogs; scenarios:write depends on scenarios:read.",implemented
Safety,output_bounds,phase_1,assistant_and_mcp,"Tool outputs are bounded so benchmark comparisons do not flood model context.","Returned series is capped or sampled; tests cover truncation/sample limits.",verified
Quality,data_quality_warnings,phase_1,assistant_and_mcp,"Assistant can explain missing or weak benchmark data instead of inventing returns, including when a provider backfill fails or returns nothing.","Tool returns noData/partial/ok status with warning strings for empty history (after attempted provider backfill), short history, missing start/end coverage, and non-positive prices; load_benchmark_quotes adds a warning on provider error or empty fetch.",implemented
Validation,rust_compile,phase_1,repo,"Rust crates touched by the branch compile.","cargo check -p wealthfolio-agent-tools -p wealthfolio-ai or broader cargo check succeeds.",verified
Validation,tool_contract_tests,phase_1,repo,"New tools are registered, allowlisted, schema-tested, and visible through the shared agent catalog.","cargo test -p wealthfolio-ai --test allowlist; cargo test -p wealthfolio-ai --features test-utils --test tool_schemas; relevant agent-tools tests pass.",verified
Validation,scenario_persistence_checks,phase_2,repo,"Scenario persistence and chat tool wiring compile and have contract coverage.","cargo check -p wealthfolio-agent-tools; cargo check -p wealthfolio-ai; cargo check -p wealthfolio-server --features assistant-mcp; cargo check -p wealthfolio-app in nix develop; tool schema snapshots include saved scenario tools; core validate + storage DB/domain roundtrip unit tests pass.",verified
AI market data,provider_quote_backfill,phase_3,assistant_and_mcp,"Assistant and MCP can price any symbol — tracked or not, past or present — by backfilling historical quotes from the market-data provider when local history does not reach the requested start, without writing assets or quotes.","load_benchmark_quotes is local-first and calls QuoteServiceTrait::fetch_quotes_for_symbol on a coverage gap, merges provider quotes over local by date, and falls back to local plus a warning on provider error/empty fetch; resolve_symbol_input supplies canonical id + currency for untracked symbols; used by get_symbol_performance, compare_portfolio_to_symbols, and compare_saved_scenario; ephemeral (no DB writes); unit tests cover the coverage check and date merge.",implemented
AI market data,get_quote,phase_3,assistant_and_mcp,"Assistant and MCP can fetch a single price for any symbol or asset outside the scenario flow — the latest price, or the last available price on or before an as-of date.","Tool resolves the symbol and returns price, currency, asOf, requestedDate, and ok|noData status; uses load_benchmark_quotes (local-first with provider backfill) over a small window; registered in v1_read_tools, DEFAULT_TOOLS_ALLOWLIST, and catalog/allowlist/schema-snapshot tests.",implemented
Safety,benchmark_symbol_cap,phase_2,assistant_and_mcp,"A saved scenario can never hold more benchmark symbols than the comparison tools can replay.","NewPortfolioScenario::validate caps benchmark_symbols at MAX_BENCHMARK_SYMBOLS=5, matching the comparison tools' MAX_COMPARE_SYMBOLS; create_portfolio_scenario schema sets benchmarkSymbols maxItems=5; core unit test enforces the cap.",implemented
Storage,scenario_kind_discriminator,phase_3,core_db,"The shared scenarios table tags each row as comparison, basket, or projection so the built-in page, basket replay, and the Scenario Planner add-on never misread or clobber each other.","ScenarioKind enum + basket_json column added via migration 2026-06-30-000002_scenario_kind_basket; schema, DB model roundtrip, and ScenarioKind::parse fall back to comparison for legacy rows; storage roundtrip test asserts kind+basket survive.",implemented
AI scenarios,synthetic_basket_replay,phase_3,assistant_and_mcp,"A scenario can define a hypothetical weighted basket of securities and replay it over history as a buy-and-hold index, including past start dates and untracked symbols.","compute_basket_performance builds a weight-normalized, currency-agnostic index rebased to 100 at a common base date using load_benchmark_quotes per leg; missing legs are dropped + renormalized with warnings; price_asof + index math have unit tests; metrics reuse the single-symbol path.",implemented
AI scenarios,compare_basket,phase_3,assistant_and_mcp,"Assistant and MCP can replay an ad-hoc weighted basket and optionally compare it to benchmark symbols without saving a scenario.","compare_basket tool takes positions[]+optional benchmarks, caps legs at 10 and benchmarks at 5, registered in v1_read_tools, DEFAULT_TOOLS_ALLOWLIST, and catalog/allowlist/schema-snapshot tests.",implemented
UI,scenario_addon_clobber_fix,phase_3,frontend_addon,"The built-in scenarios page cannot wipe the Scenario Planner add-on's projection data, and the basket/kind fields survive an edit.","Add-on writes kind=projection; built-in page detects add-on-owned rows by kind or assumptions.source prefix and disables Edit; updateScenarioEntry adapter now forwards kind+basket so a basket scenario stays a basket after edit; SDK + frontend types carry ScenarioKind/BasketPosition.",implemented_pending_ui_smoke
